sentence_en,sentence_xx,language
About 300 people were injured.,300 பேர் படுகாயமடைந்தனர்.,ta
But mom and you are leaving for Tirupati tomorrow.,ஆனால் அம்மா மற்றும் நீங்கள் திருப்பதி நாளை போகிறாய்.,ta
I have some responsibility.,எனக்கு சில பொறுப்புகள்.,ta
They have faced a lot of hardship as a result.,இதனால் அவர்கள் பெரும் அவதிக்குள்ளாகியுள்ளனர்.,ta
People are realising this.,இதை மக்கள் உணர்ந்து இருக்கிறார்கள்.,ta
They will not build and someone else have occupancy. they will not plant and someone else do the eating.,“ வெளியின் விருட்சங்கள் தங்கள் கனியைத்தரும். பூமி தன் பலனைக் கொடுக்கும். ”,ta
That too simultaneously!,அதுவும் ஜோடியாக!,ta
"Many skin-related issues are solved by potatoes, and you also do not need too many ingredients for this home remedy.","தோல் தொடர்பான பல பிரச்சனைகள் உருளைக் கிழங்கின் மூலம் தீர்க்கப்படுகின்றன, மேலும் இந்த வீட்டு வைத்தியத்திற்கு உங்களுக்கு அதிகமான பொருட்கள் தேவையில்லை.",ta
Our house is burning.,நம்ம வீடு தீப்பிடித்து எரிகிறது.,ta
"Ahmed Qureia, the Palestinian prime minister, accused the Israeli government of practising 'ethnic cleansing crimes and collective punishment of innocent civilians'.","""பாலஸ்தீன பிரதமர் அஹமது குரேயா இஸ்ரேல் அரசாங்கம் """"இன அழிப்பு குற்றங்களை செய்துவருவதாகவும் அப்பாவி சிவிலியன்கள் மீது கூட்டுத்தண்டனை விதித்துவருவதாகவும்"""" குற்றம் சாட்டினார்.""",ta
In the beginning...,துவக்கத்தில்,ta
"Permission has been given for Sri Lankan Tamil Students to enrol in Arts & Science Colleges, Professional Colleges, Polytechnic Institutes and Universities through merit based admissions/single window counselling system under the general category.","இத்துடன், இலங்கைத் தமிழ் மாணவர்கள் கலை மற்றும் அறிவியல் கல்லூரிகளிலும், தொழில் சார்ந்த கல்லூரிகளிலும், தொழில் நுட்ப நிலையம் மற்றும் பல்கலைக் கழகங்களிலும் ஒற்றைச் சாளர முறையில் தகுதியின் அடிப்படையில், பொதுப்பிரிவின் கீழ் 14 கலந்தாய்வில் கலந்து கொண்டு, சேர்ந்து கொள்ள அனுமதிக்கப்பட்டுள்ளனர்.",ta
Every day thousands of devotees visit the temple.,திருப்பதி ஏழுமலையான் கோயிலுக்கு தினமும் லட்சக்கணக்கான பக்தர்கள் வருகின்றனர்.,ta
But this too did not materialise.,"ஆனால், அதுவும் செயல் வடிவத்திற்கு வரவில்லை.",ta
I apologize,மன்னிக்க வேண்டுகிறேன்,ta
The Supreme Court has upheld this.,இதனை சுப்ரீம் கோர்ட்டு உறுதி செய்தது.,ta
"Thus, the New World Translation stands vindicated as a reliable translation of all Scripture, inspired of God. 2 Timothy 3: 16.","இவ்வாறாக, கடவுளால் ஏவப்பட்டு எழுதப்பட்ட ‘ எல்லா வேதவாக்கியங்களுக்கும் ’ நம்பகமான மொழிபெயர்ப்பாக புதிய உலக மொழிபெயர்ப்பு உயர்ந்தோங்கி நிற்கிறது. — 2 தீமோத்தேயு 3: 16, NW.",ta
Torrential rains are expected to continue for next couple of days in the State.,நாட்டில் தற்போது காணப்படும் மழையுடனான வானிலையில் ஏற்படும் அதிகரிப்பு அடுத்த சில நாட்களுக்கும் தொடருமென எதிர்பார்க்கப்படு...,ta
"Who was this man ? It was Persian King Artaxerxes, whom Nehemiah served as cupbearer. Neh.",‘ இந்த மனுஷன் ’ என்று அவர் யாரைக் குறிப்பிட்டார்?,ta
"For questions fired at him about his new films, spirituality and politics, he answered in his usual style of careful neither here nor there answers.","பிறகு நிருபர்களுக்கு பேட்டியளித்தார். புதிய படமா, ஆன்மீகம், அரசியல் என சரமாரியாக கேட்கப்பட்ட கேள்விகளுக்கு தனக்கேயுரிய கழுவுற மீனில் நழுவுற ஸ்டைலில் பதிலளித்தார்.",ta
I love my wife very much.,என் மனைவி மீது மிகுந்த அன்பு கொண்டவர்.,ta
Is this news?,திடீரெனெ இப்படி ஒரு செய்தியா?,ta
This is being investigated as well.,இதைப் பற்றியும் ஆராய்ச்சி செய்திருக்கிறார்கள்.,ta
"Conversely, the total cholesterol can be within normal limits, yet be made up primarily of small LDL and small HDL particles, under which conditions atheroma growth rates are high.","மாறாக, எனினும் சிறிய LDL மற்றும் சிறிய HDL துகள்களில் முதலில் எந்த நிலையில் கூழ்மைக்கரடு வளர்ச்சி வீதம் தொடர்ந்து அதிகமாக இருக்கிறதோ அதைப் பொருத்து மொத்த கொழுப்பு சாதாரண வரம்பில் இருக்கலாம்.",ta
Another joy I now have is that my two sisters and some of their children have dedicated their lives to Jehovah and have been baptized.,"இப்பொழுது, நான் மற்றவர்களிடம் என்னுடைய நம்பிக்கையைப் பற்றி பேசுவதோடு, என் அனுபவத்தையும் சொல்லுகிறேன்.",ta
Own buildings will be constructed for additional 25 hostels at a cost of Rs.12.5 crores in the coming financial year.,வரும் நிதியாண்டில் மேலும் 25 விடுதிகளுக்குச் சொந்தக் கட்டடங்கள் ரூபாய் 12.5 கோடி மதிப்பீட்டில் கட்டப்படும்.,ta
"Does he have a position so important that it will affect all humankind, even many who have died?",மரித்திருக்கும் அநேக ஆட்களையும்கூட அது பாதிக்குமா என்ன?,ta
The king relented.,அரசர் தயங்கினார்.,ta
"In ancient times, some mountains and hills served as sites for idolatrous worship and for sanctuaries of false gods.","“ கர்த்தருடைய ஆலயமாகிய பர்வதம் பர்வதங்களின் கொடுமுடியில் ஸ்தாபிக்கப்பட்டு, மலைகளுக்கு மேலாய் உயர்த்தப்படும் ” என்று தீர்க்கதரிசி சொல்கிறார்.",ta
Deepak Kochhar is the husband of ICICI Bank Chief Executive Officer Chanda Kochhar.,"தீபக் கோச்சார், ஐசிஐசிஐ வங்கியின் மேலாளர் சந்தா கோச்சாரின் கணவன் ஆவர்.",ta
"Their capital Pataliputra, adjacent to modern-day Patna, was an important political, military and economic centre of Indian civilisation during the ancient and classical periods of Indian history.","இவர்களின் தலைநகரான பாடலிபுத்திரம், தற்கால பாட்னாவின் அருகில் இருந்தது, இந்த நகரம் இந்திய நாகரீகத்தின் முக்கிய அரசியல், இராணுவ, பொருளாதார மையமாக இருந்தது.",ta
Its also Rs.,இதற்கும் ரூ.,ta
Madkaikar is a member of the Goa Legislative Assembly from the Cumbarjua constituency in North Goa.,வடக்கு கோவாவின் கும்பர்ஜூ தொகுதியிலிருந்து கோவா சட்டமன்றத்தில் உறுப்பினராக உள்ளார்.,ta
"And if you are in doubt concerning what We have sent down to Our servant, then bring a surah like it, and invoke your helpers besides Allah, if you are truthful.","இன்னும், (முஹம்மது (ஸல்) என்ற) நம் அடியாருக்கு நாம் அருளியுள்ள (வேதத்)தில் நீங்கள் சந்தேகம் உடையோராக இருப்பீர்களானால், (அந்த சந்தேகத்தில்) உண்மை உடையோராகவும் இருப்பீர்களானால் அல்லாஹ்வைத்தவிர உங்கள் உதவியாளர்களை(யெல்லாம் ஒன்றாக) அழைத்து (வைத்து)க்கொண்டு இது போன்ற ஓர் அத்தியாயமேனும் கொன்டு வாருங்கள்.",ta
What shall I do?,என்னா செய்யணும்'',ta
"A mechanical engineering from NIT Tiruchi, he works at a software firm in Chennai.","இன்ஜினியரிங் படித்து முடித்திருந்த ஆர்த்தி, ஒரு எம். என். சி. ,யில் சாப்ட்வேர் இன்ஜினியராக சென்னையில் பணிபுரிந்து கொண்டிருந்தாள்.",ta
"After 'Kaadhalar Dhinam,' 'Punnagai Desam' and 'Parvai Onray Podhumey,' Kunal is acting in this film. The other hero is Aditya who acted in 'Whistle.'","'காதலர் தினம்', 'புன்னகை தேசம்', 'பார்வை ஒன்றே போதுமே' படங்களை தொடர்ந்து குணால் நடிக்கும் இந்த படத்தில் 'விசில்' படத்தில் நடித்த ஆதித்யாவும் இன்னொரு நாயகன்.",ta
I came home.,பிறந்த வீட்டுக்கே வந்துவிட்டேன்.,ta
The film...,இப்படத்தின்,ta
But nobody ignores it.,"ஆனால், எவரும் அதைப் பகிரங்கமாக நிராகரிக்க மாட்டார்கள்.",ta
The meeting was held at the President's Office.,இதற்கான நிகழ்வு ஜனாதிபதி உத்தியோகபூர்வ இல்லத்தில் இடம்பெற்றது.,ta
Firing case: The police here nabbed three persons in a firing case.,பொலிஸ் ஊடகப்பேச்சாளர் : துப்பாக்கி சூட்டு சம்பவம் இடம்பெற்று மூன்று பேரை கைதுசெய்துள்ளோம்.,ta
Its my fault.,எனது குற்றம்.,ta
"The Tata Harrier recorded sales of 2,075 units of sales in the month of April 2019","கடந்த ஏப்ரல் மாதத்தில் டாடா நிறுவனம் மொத்தம் 2,075 ஹாரியர் எஸ்யூவி கார்களை விற்பனை செய்துள்ளது",ta
he said with a wry smile.,அவர் ஒரு மெலிதான சிரிப்போடு சொன்னார்.,ta
England team,இங்கிலாந்து அணி.,ta
Was it not a compromise of national security?,இது தேசப் பாதுகாப்பில் சமரசம் செய்துகொள்வது இல்லையா?,ta
How have some people been like the unintentional manslayer in Israel? Some people have caused human death willfully or through carelessness.,இத்தகைய ஆட்கள் இரக்கத்திற்காகக் கடவுளை மன்றாடிக் கேட்டு அடையாளம் முன்குறித்த அந்தப் பட்டணத்திற்குள் ஓடிப்போக வேண்டும்.,ta
10 deaths reported across country,10 நாடுகளில் மரணம்,ta
Both the films were well received.,இரு படங்களுக்கும் பெரிய வரவேற்பு கிடைத்தது.,ta
We adopted Act East Policy of which the North-east is at its heart.,"நண்பர்களே, வடகிழக்கை இதயமாகக் கொண்ட கிழக்கு சார்ந்த கொள்கையை நாம் பின்பற்றுகிறோம்.",ta
We changed.,மாற்றினானாம்.,ta
Irrigation is a critical input for success of Agriculture.,விவசாயத்தினை வெற்றிகரமாக செயல்படுத்திட நீர்ப்பாசனம் மிகவும் இன்றியமையாததாகும்.,ta
"This implies that one need not worry so much when things look bleak, as everything should turn out all right eventually.","இந்தக் கஷ்டமான தேசத்தில் வாழ, அனுசரிக்கும் தன்மையும், மனவுறுதியும் தேவைப்பட்டன.",ta
"During the Second World War, Gilligan served in the Royal Air Force as a welfare officer. he was commissioned a pilot officer and rose to the rank of squadron leader.","இரண்டாம் உலகப் போரின் போது, கிலிகன்ராயல் விமானப்படையில் ஒரு நல அலுவலராக பணியாற்றினார்.",ta
"Prime Minister expressed his appreciation for the goodwill and care extended to the Indian diaspora in Uganda by the host Government and society, including during the present situation.","உகாண்டாவில் உள்ள இந்தியர்கள் மீது நல்லெண்ணம், அக்கறை காட்டி வருவதற்காகவும், இப்போதைய நிலையில் அளித்து வரும் ஆதரவிற்காகவும் உகாண்டாவுக்கு பிரதமர் நன்றி தெரிவித்துக் கொண்டார்.",ta
Vitamin A is good for the eyes.,வைட்டமின் ஏ கண்பார்வைக்கு நல்லது.,ta
Battered Women I have no words to express my gratitude for the series Help for Battered Women.,எமது வாசகரிடமிருந்து,ta
He made this announcement on his official Twitter account.,தனது உத்தியோகபூர்வ ட்விட்டர் பக்கத்தில் அவர் இதனை உறுதிப்படுத்தியுள்ளார்,ta
Rohit Sharma and Shikhar Dhawan provided India with a rollicking start at the top of the order.,தொடக்க வீரர்களாக களமிறங்கிய ரோகித் சர்மா மற்றும் தவான் இந்திய அணிக்கு சிறப்பான தொடக்கத்தை ஏற்படுத்தி கொடுத்தனர்.,ta
Bihar Chief Minister Nitish Kumar was also present on the occasion.,அந்த நிகழ்ச்சியில் பீகார் மாநில முதல்வர் நிதிஷ்குமார் கலந்துகொண்டு பேசியதாவது:,ta
the same in time.,இதே நேரத்தில் .,ta
India has a robust 700 Kms of operational metro rail in 18 major cities and a BRT network of about 450 kms operational in 11 cities across the country carrying 10 million passengers daily.,இந்தியாவில் 18 முக்கிய நகரங்களில் மெட்ரோ ரயில் 700 கி.மீ தூரத்துக்கு இயக்கப்படுகிறது. 11 நகரங்களில் பேருந்து பொதுப் போக்குவரத்து 450 கி.மீ அளவுக்கு உள்ளது.,ta
